party_code,party_name,description
288,JEM,Jan Ekta Morcha
289,KMS,All India Kisan Mazdoor Sabha
290,LHS,Lokhit Morcha
291,LPI(V),Labour Party of India (V. V. Prasad)
292,MB,Mukt Bharat
293,PRC,Poorvanchal Rashtriya Congress
294,RVD,Rashtriya Unnatsheel Dal
295,RSDP,Rashtriya Samdarshi Party
296,PDI,People's Democracy of India
297,LMS,Bharatiya Loktantrik Mazdoor Sangh
298,PPI,People Party of India
299,KMP,Uttar Pradesh Kisan Mazdoor Party
300,ARS,Arya Sabha
301,LSS,Lok Sevak Sangh
310,AHF,Azad Hind Fauz (Rajkiya)
311,IDP,Internationalist Democratic Party
312,MSD,Akhil Bharatiya Manav Seva Dal
313,SVP,Sarvodaya Party
314,SRP,Socialist Revolutionary Party
315,SRRP,Sadharam Rajya Parishad
316,KLP,Krishikar Party
317,RSNM,Rajasthan Samajik Nyaya Manch
320,Jan Morcha,Jan Morcha
321,RWP,Rashtriya Swabhimaan Party
322,SBSP,Suhedev Bharatiya Samaj Party
323,BKD,Bahujan Kissan Dal
324,BJSH,Bharatiya Jan Shakti (Uma Bharti)
325,BHBP,Bharatiya Bahujan Party
326,RJVP,Rajasthan Vikas Party
327,LSWP,Loktantric Samajwadi Party
328,NLHP,National Lok Hind Party
329,Mahan Dal,Mahan Dal
330,UPRP,Uttar Pradesh Republican Party
331,UKD,Uttarakhand Kranti Dal
332,ALD,Adarsh Lok Dal
333,HKSP,Akhil Bharatiya Hindustani Krantikari Samajwadi Party
334,ABJJP,Akhil Bharatiya Janhit Jagrati Party
335,LTP,Akhil Bharatiya Loktantra Party
336,MDL,Akhil Bharatiya Mahila Dal
337,NP,Nationalist Party
338,SSD,Soshit Samaj Dal
339,ABGP,Akhil Bharatiya Gram Parishad
340,SHS(R),Akhil Bharatiya Shivsena (Rashtrawadi)
341,SJP(R),Samajwadi Janata Party(Rashtriya)
342,SMP,Satya Marg Party
343,BKKGP,Bharatiya Kisan Kamgar Party
344,KVP,Kissan Vikas Party / Kosi Vikas Party
345,AD (S),Apna Dal (Sone Lal)
346,NLP,National Loktantrik Party
347,INL,Indian National League
348,SM,Sanjay Manch
349,NJP,Nutan Maha Gujarat Janta Parishad
350,BJS,Bhartiya Jan Sabha
351,AJBP,Ajeya Bharat Party
352,RTKP,Rashtriya Kranti Party(Kalyan Singh)
353,UJP,Uttarakhand Janwadi Party
354,CGVP,Chhattisgarh Vikas Party
355,RSMD,Rashtriya samata dal
356,RPD,Rashtriya Parivartan Dal
357,VVS,Vishwa Vikas Sangh
358,BSP(K),Bahujan Sangharsh Party(Kanshiram)
360,JMM (M),Jharkhand Mukti Morcha (Mand.)
361,HJD,Hul Jharkhand Party
362,JMM(S),Jharkhand Mukti Morcha (Soren)
363,LAJM,Akhil Bharatiya Loktantric Alpsankhyak Janmorcha
364,SKD,Sampooran Kranti Dal
365,PVP,Akhil Bharatiya Pichhadavarg Party
366,BKS,Bharatiya Krantikari Kisan Sangh
367,PHJ,Progressive Hul Jharkhand
368,JKD,Jharkhand Dal
369,AMB,Amra Bangalee
370,ABSP,Akhil Bharatiya Socialist Party
371,DBM,Akhil Bharatiya Desh Bhakt Morcha
372,RRP(S),Akhil Bharatiya Ram Rajya Parishad(Vasudev Shastri)
373,CSJ,Chota Nagpur&Santhal Parganas Janta Party
374,PSSS,Proutist Sarva Samaj Samiti
375,RJD,Rashtriya Janata Dal(Laloo)
376,AIRJP,All India Rashtriya Janata Party
377,CVP,Champaran Vikas party
378,AJSU,All Jharkhand Student Union
379,AJVD,Akhil Jan Vikas Dal
380,RKP,Rashtriya Kalyan Paksha
381,JKPP,Jharkhand People's Party
382,JKR,Jan Kranti Dal
383,BPP,Bhartiya Pragatisheel Party
384,JBSP,Jai Bharat Samata Party
385,JJM,Jharkhand Janadhikar Manch
386,JVD,Jharkhand Vikas Dal
400,RSM,Revolutionary Socialist Party of India (Marxist and Leninist)
420,CMM,Chhattisgarh Mukti Morcha
421,MKVP,Mahakushal Vikas Party
422,DMPI,Democratic Party of India
423,GGP,Gondwana Party
424,GMS,Gondwana Mukti Sena
425,MPVC,Madhya Pradesh Vikas Congress
428,KSM,Krantikari Samajwadi Manch
429,BKKD,Bahujan Krantikari Dal
431,SVSP,Savarn Samaj Party
432,CSP,Chhattisgarhi Samaj Party
438,SGF,Save Goa Front
440,HSH,Hindu Shiv Sena (A. K. Brahmbatt)
441,SCP,Sr. Citizens National Party of India
442,SLI,Socialist League of India
443,YVP,Yuva Vikas Party
444,GJP,Gujarat Janata Parishad
446,GYP,Gujarat Yuva Party
447,BMSM,Bharatiya Minorities Suraksha Mahasangh
448,RJP(V),Rashtriya Janata Party(Vaghela)
449,GAVP,Gujarat Adijati Vikash Paksh
450,KMLP,Kissan Mazdoor Lok Paksha
460,DPP,Dalit Panthers Party
461,RSD,Akhil Bharatiya Revolutionary Samaj Dal
462,SRS,Sampooran Rashtriya Sena
463,VBP,Vishal Bharat Party
464,VPP,Vidarbha Praja Party
465,HPI,Humnist Party ofIndia
466,NRP,National Republican Party
467,GPI,Green Party of India
468,RSHSP,Rashtriya Shoshit Samaj Party
469,BBM,Bharatiya Bahujan Mahasangh
470,HJP,Hindustan Janata Party
471,MNS,Maharashtra Navnirman Sena
472,JSS,Jan Surajya Shakti
473,RSPS,Rashtriya Samaj Paksha
474,RP(K),Republican Paksha(khoripa)
475,KKJHS,Kranti Kari Jai Hind Sena
476,VRP,Vidharbha Rajya Party
477,ARP,Ambedkarist Republican Party
478,PRCP,Prabuddha Republican Party
479,ABHS,Akhil Bharatiya sena
480,GLP,Gomant Lok Party
481,GNC,Garo National Council
483,STBP,Swatantra Bharat Paksha
484,LGS,Lok Sangram
486,RSSP,Rashtriya Samaj Paksha
487,SMJP,Samajwadi Jan Parishad
488,LBP,Lok Bharti Party
501,TEC,Telengana Congress
502,TPS,Telengana Praja Samithi
503,TRS,Telangana Rajya Samiti
504,BHSASP,Bharatheeya Sadharma Samtshapana Party
505,TPPP,Tamilnad Praja Pragati Party
506,YSRCP,Yuvajana Sramika Rythu Congress Party
510,BDLP,Bharatiya Dhruba Labour Party
511,LAB(B),Labour Party (Ashok Bhattacharjee)
512,LKP,Lok Party
513,NBNP,Navbharat Party
514,DLP,Bharat Desam Labour Party
515,VJS,Vijaya Shakti
516,SCF,All India Scheduled Castes Federation
517,PDF,People's Democratic Front
518,PHK,Pavitra Hindustan Kaazhagam
519,MBT,Majlis Bachao Tahreek
521,NIP,New India Party
522,PPOI,Pyramid Party of India
523,PRAP,Praja Rajyam
524,LSP,Lok Satta Party/Loktanter Suraksha Party
526,TNT,Tamilnad Toilers
527,COMW,Commonweal
528,MADMK,Anna Dravida Munnetra Kazhagam(M.G.Ramachandran Group)
529,TTC,Travancore Tamilnad Congress Party
530,MDMK,Marumalarchi Dravida Munnetra Kazhagam
531,AMI,Ambedkar Makkal Iyakkam
532,GMK,Gramma Munetra Kazhagam
533,MGMK,M.G.R.Munnetra Kazhagam
534,MHA,Marx Engles Leninist Commune Health Association
535,MPP,Mahabharat Peoples Party
536,SLL,Socialist Labour League
537,TMK,Thayaga Marumalrchi Kazhagam
538,TMM,Tharasu Makkal Mandram
539,DNC,Deccan Congress
540,KDC,Kamaraj Desiya Congress
541,TKM,Tamiliar Kazhagam
542,PWA,Tamilnadu People's Welfare Association
543,IJP,All India Justice Party
544,BMC,Bharatha Makkal Congress
545,GKC,Gandhi Kamraj National Congress
546,TNC,Tamil Nadu Congress(K)
547,HPI,Human Rights of India
548,TNP,Tamil National Party
549,WT,We Tamils
550,PMM,Pondicherry Mannila Makkal Munnani
551,PFR,Peoples Front (Pondicherry)
552,RDMP,Rashtriya Dehat Morcha Party
553,PNK,Puthiya Needhi Katchi
554,CNMK,Congunadu Makkal Katchi
555,PT,Puthiya Tamilagam
556,MTD,Makkal Tamil Desam
557,MGRK,M.G. R. Munnetra Kazhagam
558,TB,Thamilar Bhoomi
559,PMC,Pudhucherry Makkal Congress
560,KCM,Kerala Congress(M)
561,DKP,Desseya Karshaka Party
562,KCP,Kerala Congress (Pillai Group)
563,PDP,Peoples Democratic Party
564,KSP,Kerala Socialist Party / Kosal Party
565,KSMUL,Muslim League Kerala State Committee
566,CMP(K),Communist Marxist Party Kerala State Committee
567,JPSS,Janadhipathiya Samrekshna Samiti
568,KEC(B),Kerala Congress (B)
569,RSPK(B),Revolutionary Socialist Party of Kerala(Bolshevik)
570,IFDP,Indian Federal Democratic Party
571,KCS,Kerala Congress (Secular)
572,Cong (S),Congress Secular
573,DICK,Democratic Indira Congress ( K)
580,BBP,Bharatiya Backward Party
581,CKN,Cheluva Kannad Nadu
582,KDP,Kannada Desh Party
583,KNP,Kannada Paksha
584,KRS,Karnataka Rajya Ryota Sangha
585,SUP,Surajya Party
586,KGP,Karnataka Gana Parishad
587,SVRP,Scientific Vedic Revolutionary Party
